"MCQ260AC.Code.or.Value","MCQ260AC.Value.Description","MCQ260AC.Count","MCQ260AC.Cumulative","MCQ260AC.Skip.to.Item"
"3","Mother's mother",449,449,"MCQ250B"
".","Missing",9196,9645,""
