"VTQ080.Code.or.Value","VTQ080.Value.Description","VTQ080.Count","VTQ080.Cumulative","VTQ080.Skip.to.Item"
"1","Yes",192,192,NA
"2","No",458,650,NA
"7","Refused",0,650,NA
"9","Don't know",0,650,NA
".","Missing",201,851,NA
