"WHQ510E.Code.or.Value","WHQ510E.Value.Description","WHQ510E.Count","WHQ510E.Cumulative","WHQ510E.Skip.to.Item"
"14","I think my clothes will fit better",74,74,NA
".","Missing",1386,1460,NA
