"SPQ020.Code.or.Value","SPQ020.Value.Description","SPQ020.Count","SPQ020.Cumulative","SPQ020.Skip.to.Item"
"1","Yes",577,577,""
"2","No",6505,7082,"SPQ040"
"7","Refused",0,7082,""
"9","Don't know",1,7083,""
".","Missing",412,7495,""
