"SSGII3O1.Code.or.Value","SSGII3O1.Value.Description","SSGII3O1.Count","SSGII3O1.Cumulative","SSGII3O1.Skip.to.Item"
"0.015 to 3.5","Range of Values",1033,1033,NA
".","Missing",3,1036,NA
