"WBXP018.Code.or.Value","WBXP018.Value.Description","WBXP018.Count","WBXP018.Cumulative","WBXP018.Skip.to.Item"
"-164.8153 to 146.8166","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
