"LB2RUIU.Code.or.Value","LB2RUIU.Value.Description","LB2RUIU.Count","LB2RUIU.Cumulative","LB2RUIU.Skip.to.Item"
"1 to 227","Range of Values",375,375,NA
".","Missing",0,375,NA
