"SSMET.Code.or.Value","SSMET.Value.Description","SSMET.Count","SSMET.Cumulative","SSMET.Skip.to.Item"
"0.694015495 to 90.49269994","Range of Values",1252,1252,NA
".","Missing",1,1253,NA
