"SSMEL.Code.or.Value","SSMEL.Value.Description","SSMEL.Count","SSMEL.Cumulative","SSMEL.Skip.to.Item"
"0.04 to 160.47","Range of Values",484,484,NA
".","Missing",0,484,NA
