"SMQ666O.Code.or.Value","SMQ666O.Value.Description","SMQ666O.Count","SMQ666O.Cumulative","SMQ666O.Skip.to.Item"
"1","Regular",13,13,NA
"2","Light",3,16,NA
"3","Ultralight",1,17,NA
"7","Refused",0,17,NA
"9","Don't know",0,17,NA
".","Missing",7511,7528,NA
