"SSCTMBA.Code.or.Value","SSCTMBA.Value.Description","SSCTMBA.Count","SSCTMBA.Cumulative","SSCTMBA.Skip.to.Item"
"0","Negative",530,530,NA
"1","Positive",277,807,NA
".","Missing",0,807,NA
