"RFXC112.Code.or.Value","RFXC112.Value.Description","RFXC112.Count","RFXC112.Cumulative","RFXC112.Skip.to.Item"
"-7.379 to 5.544","Range of Values",33689,33689,NA
".","Missing",32,33721,NA
