"DXXPT37X.Code.or.Value","DXXPT37X.Value.Description","DXXPT37X.Count","DXXPT37X.Cumulative","DXXPT37X.Skip.to.Item"
"727.6 to 1268.3","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
