"DXXPT80Y.Code.or.Value","DXXPT80Y.Value.Description","DXXPT80Y.Count","DXXPT80Y.Cumulative","DXXPT80Y.Skip.to.Item"
"168.7 to 394.9","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
