"LBXRUB.Code.or.Value","LBXRUB.Value.Description","LBXRUB.Count","LBXRUB.Cumulative","LBXRUB.Skip.to.Item"
"0.007 to 6.82","Range of Values",5054,5054,NA
".","Missing",598,5652,NA
