"DRXIVB2.Code.or.Value","DRXIVB2.Value.Description","DRXIVB2.Count","DRXIVB2.Cumulative","DRXIVB2.Skip.to.Item"
"0 to 14.329","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
