"VIQ051E.Code.or.Value","VIQ051E.Value.Description","VIQ051E.Count","VIQ051E.Cumulative","VIQ051E.Skip.to.Item"
"1","No difficulty",5133,5133,NA
"2","A little difficulty",501,5634,NA
"3","Moderate difficulty",172,5806,NA
"4","Extreme difficulty",61,5867,NA
"5","Unable to do because of eyesight",22,5889,NA
"6","Does not do this for other reasons",35,5924,NA
"77","Refused",0,5924,NA
"99","Don't know",3,5927,NA
".","Missing",1246,7173,NA
