"DS1IPOTA.Code.or.Value","DS1IPOTA.Value.Description","DS1IPOTA.Count","DS1IPOTA.Cumulative","DS1IPOTA.Skip.to.Item"
"0.01 to 2340","Range of Values",680,680,NA
".","Missing",5388,6068,NA
