"WBXP038.Code.or.Value","WBXP038.Value.Description","WBXP038.Count","WBXP038.Cumulative","WBXP038.Skip.to.Item"
"-60.8938 to 144.2048","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
