"MCQ260FG.Code.or.Value","MCQ260FG.Value.Description","MCQ260FG.Count","MCQ260FG.Cumulative","MCQ260FG.Skip.to.Item"
"7","Brother",200,200,"MCQ250G"
".","Missing",9445,9645,""
