"OPDSNVO.Code.or.Value","OPDSNVO.Value.Description","OPDSNVO.Count","OPDSNVO.Cumulative","OPDSNVO.Skip.to.Item"
"0","None",3217,3217,NA
"1","Questionable",4,3221,NA
"2","< 10A",3,3224,NA
"3",">= 10A",0,3224,NA
".","Missing",639,3863,NA
