"DEQ6BPOT.Code.or.Value","DEQ6BPOT.Value.Description","DEQ6BPOT.Count","DEQ6BPOT.Cumulative","DEQ6BPOT.Skip.to.Item"
"1","Present",0,0,NA
".","Missing",2992,2992,NA
