"OHQ570Q.Code.or.Value","OHQ570Q.Value.Description","OHQ570Q.Count","OHQ570Q.Cumulative","OHQ570Q.Skip.to.Item"
"1 to 24","Range of Values",219,219,""
"7777","Refused",0,219,"OHQ580"
"9999","Don't know",10,229,"OHQ580"
".","Missing",9541,9770,""
