"FSD032C.Code.or.Value","FSD032C.Value.Description","FSD032C.Count","FSD032C.Cumulative","FSD032C.Skip.to.Item"
"1","Often true",530,530,NA
"2","Sometimes true",1663,2193,NA
"3","Never true",6559,8752,NA
"7","Refused",21,8773,NA
"9","Don't know",18,8791,NA
".","Missing",463,9254,NA
