"PAD320.Code.or.Value","PAD320.Value.Description","PAD320.Count","PAD320.Cumulative","PAD320.Skip.to.Item"
"1","Yes",4091,4091,NA
"2","No",2891,6982,NA
"3","Unable to do activity",166,7148,NA
"7","Refused",1,7149,NA
"9","Don't know",2,7151,NA
".","Missing",2273,9424,NA
