"CSQ080.Code.or.Value","CSQ080.Value.Description","CSQ080.Count","CSQ080.Cumulative","CSQ080.Skip.to.Item"
"1","Yes",199,199,NA
"2","No",3614,3813,NA
"7","Refused",0,3813,NA
"9","Don't know",2,3815,NA
".","Missing",0,3815,NA
