"RFXC082.Code.or.Value","RFXC082.Value.Description","RFXC082.Count","RFXC082.Cumulative","RFXC082.Skip.to.Item"
"-7.428 to 5.154","Range of Values",33695,33695,NA
".","Missing",26,33721,NA
