"WTSCI49.Code.or.Value","WTSCI49.Value.Description","WTSCI49.Count","WTSCI49.Cumulative","WTSCI49.Skip.to.Item"
"0 to 457706.85077","Range of Values",727,727,NA
".","Missing",51,778,NA
