"WBXF058.Code.or.Value","WBXF058.Value.Description","WBXF058.Count","WBXF058.Cumulative","WBXF058.Skip.to.Item"
"1943.0639 to 1943.0639","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
