"CSQ090A.Code.or.Value","CSQ090A.Value.Description","CSQ090A.Count","CSQ090A.Cumulative","CSQ090A.Skip.to.Item"
"1","Better",309,309,NA
"2","Worse",180,489,NA
"3","No Change",3312,3801,NA
"7","Refused",1,3802,NA
"9","Don't know",13,3815,NA
".","Missing",0,3815,NA
