"TYXP097.Code.or.Value","TYXP097.Value.Description","TYXP097.Count","TYXP097.Cumulative","TYXP097.Skip.to.Item"
"-273 to 131","Range of Values",5567,5567,NA
".","Missing",18,5585,NA
