"MPQ060.Code.or.Value","MPQ060.Value.Description","MPQ060.Count","MPQ060.Cumulative","MPQ060.Skip.to.Item"
"1","Yes",1018,1018,NA
"2","No",4021,5039,NA
"7","Refused",0,5039,NA
"9","Don't know",1,5040,NA
".","Missing",1,5041,NA
