"OPXSF2FO.Code.or.Value","OPXSF2FO.Value.Description","OPXSF2FO.Count","OPXSF2FO.Cumulative","OPXSF2FO.Skip.to.Item"
"0","Good/fair",2703,2703,NA
"1","Borderline",403,3106,NA
"2","Poor",155,3261,NA
".","Missing",602,3863,NA
