"LBXD03LA.Code.or.Value","LBXD03LA.Value.Description","LBXD03LA.Count","LBXD03LA.Cumulative","LBXD03LA.Skip.to.Item"
"1.1 to 206","Range of Values",1871,1871,NA
".","Missing",414,2285,NA
