"OPDUPPA.Code.or.Value","OPDUPPA.Value.Description","OPDUPPA.Count","OPDUPPA.Cumulative","OPDUPPA.Skip.to.Item"
"0","No",2581,2581,NA
"1","Questionable",140,2721,NA
"2","Yes",580,3301,NA
".","Missing",562,3863,NA
