"WTSPH20.Code.or.Value","WTSPH20.Value.Description","WTSPH20.Count","WTSPH20.Cumulative","WTSPH20.Skip.to.Item"
"0 to 785428.99916","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
