"URXOP2.Code.or.Value","URXOP2.Value.Description","URXOP2.Count","URXOP2.Cumulative","URXOP2.Skip.to.Item"
"0.0707 to 252","Range of Values",2804,2804,NA
".","Missing",182,2986,NA
