"LBX138LA.Code.or.Value","LBX138LA.Value.Description","LBX138LA.Count","LBX138LA.Cumulative","LBX138LA.Skip.to.Item"
"1.1 to 773","Range of Values",1896,1896,NA
".","Missing",389,2285,NA
