"OPDSRPE.Code.or.Value","OPDSRPE.Value.Description","OPDSRPE.Count","OPDSRPE.Cumulative","OPDSRPE.Skip.to.Item"
"0","No",2977,2977,NA
"1","Yes",72,3049,NA
".","Missing",814,3863,NA
