"BIXC005K.Code.or.Value","BIXC005K.Value.Description","BIXC005K.Count","BIXC005K.Cumulative","BIXC005K.Skip.to.Item"
"13.17 to 971.4","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
