"TYXP076.Code.or.Value","TYXP076.Value.Description","TYXP076.Count","TYXP076.Cumulative","TYXP076.Skip.to.Item"
"-230 to 153","Range of Values",5579,5579,NA
".","Missing",6,5585,NA
