"DXXLLFAT.Code.or.Value","DXXLLFAT.Value.Description","DXXLLFAT.Count","DXXLLFAT.Cumulative","DXXLLFAT.Skip.to.Item"
"604.4 to 20292.1","Range of Values",4004,4004,NA
".","Missing",1110,5114,NA
