"DS1TSUGR.Code.or.Value","DS1TSUGR.Value.Description","DS1TSUGR.Count","DS1TSUGR.Cumulative","DS1TSUGR.Skip.to.Item"
"0.3 to 36","Range of Values",528,528,NA
".","Missing",8176,8704,NA
