"DMDHRBRN.Code.or.Value","DMDHRBRN.Value.Description","DMDHRBRN.Count","DMDHRBRN.Cumulative","DMDHRBRN.Skip.to.Item"
"1","Born in 50 US States or Washington, DC",7392,7392,NA
"2","Born in Mexico",1700,9092,NA
"3","Born Elsewhere",927,10019,NA
"7","Refused",4,10023,NA
"9","Don't know",2,10025,NA
".","Missing",323,10348,NA
