"OSQ030ca.Code.or.Value","OSQ030ca.Value.Description","OSQ030ca.Count","OSQ030ca.Cumulative","OSQ030ca.Skip.to.Item"
"2 to 94","Range of Values",113,113,NA
"77777","Refused",0,113,NA
"99999","Don't know",3,116,NA
".","Missing",5295,5411,NA
