"OPDDMA.Code.or.Value","OPDDMA.Value.Description","OPDDMA.Count","OPDDMA.Cumulative","OPDDMA.Skip.to.Item"
"0","No",2886,2886,NA
"1","Yes",128,3014,NA
".","Missing",849,3863,NA
