"LBDBCRSI.Code.or.Value","LBDBCRSI.Value.Description","LBDBCRSI.Count","LBDBCRSI.Cumulative","LBDBCRSI.Skip.to.Item"
"5.58 to 165.76","Range of Values",3518,3518,NA
".","Missing",158,3676,NA
