"LBDVNBLC.Code.or.Value","LBDVNBLC.Value.Description","LBDVNBLC.Count","LBDVNBLC.Cumulative","LBDVNBLC.Skip.to.Item"
"0","At or above detection limit",0,0,NA
"1","Below lower detection limit",2846,2846,NA
".","Missing",326,3172,NA
