"SSEPA_N.Code.or.Value","SSEPA_N.Value.Description","SSEPA_N.Count","SSEPA_N.Cumulative","SSEPA_N.Skip.to.Item"
"6.03 to 371","Range of Values",1761,1761,NA
".","Missing",17,1778,NA
