"SSK_FLC.Code.or.Value","SSK_FLC.Value.Description","SSK_FLC.Count","SSK_FLC.Cumulative","SSK_FLC.Skip.to.Item"
"0.199 to 105","Range of Values",194,194,NA
".","Missing",1895,2089,NA
