"URDCHSLC.Code.or.Value","URDCHSLC.Value.Description","URDCHSLC.Count","URDCHSLC.Cumulative","URDCHSLC.Skip.to.Item"
"0","At or above the detection limit",1,1,NA
"1","Below lower detection limit",2565,2566,NA
".","Missing",128,2694,NA
