"CSXNAST.Code.or.Value","CSXNAST.Value.Description","CSXNAST.Count","CSXNAST.Cumulative","CSXNAST.Skip.to.Item"
"1","Salty",2885,2885,NA
"2","Bitter",78,2963,NA
"3","Something else",146,3109,NA
"4","No Taste",28,3137,NA
"5","Sour",81,3218,NA
".","Missing",490,3708,NA
