"LBX146.Code.or.Value","LBX146.Value.Description","LBX146.Count","LBX146.Cumulative","LBX146.Skip.to.Item"
"0.0004 to 0.6574","Range of Values",1894,1894,NA
".","Missing",391,2285,NA
