"OPXDCOMP.Code.or.Value","OPXDCOMP.Value.Description","OPXDCOMP.Count","OPXDCOMP.Cumulative","OPXDCOMP.Skip.to.Item"
"0","No photos",34,34,NA
"1","Incomplete",92,126,NA
"2","Complete",3198,3324,NA
".","Missing",539,3863,NA
