"WTSAU44.Code.or.Value","WTSAU44.Value.Description","WTSAU44.Count","WTSAU44.Cumulative","WTSAU44.Skip.to.Item"
"0 to 477482.56316","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
