"LBX101.Code.or.Value","LBX101.Value.Description","LBX101.Count","LBX101.Cumulative","LBX101.Skip.to.Item"
"0.0009 to 0.4564","Range of Values",1897,1897,NA
".","Missing",388,2285,NA
