"LB2STPSI.Code.or.Value","LB2STPSI.Value.Description","LB2STPSI.Count","LB2STPSI.Cumulative","LB2STPSI.Skip.to.Item"
"56 to 98","Range of Values",544,544,NA
".","Missing",2,546,NA
