"OSQ090e.Code.or.Value","OSQ090e.Value.Description","OSQ090e.Count","OSQ090e.Cumulative","OSQ090e.Skip.to.Item"
"1","Yes",24,24,"OSQ120e"
"2","No",2,26,""
"7","Refused",0,26,"OSQ120e"
"9","Don't know",0,26,"OSQ120e"
".","Missing",3043,3069,""
