"WHQ090.Code.or.Value","WHQ090.Value.Description","WHQ090.Count","WHQ090.Cumulative","WHQ090.Skip.to.Item"
"1","Yes",613,613,""
"2","No",3048,3661,"WHQ210"
"7","Refused",3,3664,"WHQ210"
"9","Don't know",5,3669,"WHQ210"
".","Missing",2506,6175,""
