"WTSPH31.Code.or.Value","WTSPH31.Value.Description","WTSPH31.Count","WTSPH31.Cumulative","WTSPH31.Skip.to.Item"
"0 to 788890.82816","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
