"MCQ260AG.Code.or.Value","MCQ260AG.Value.Description","MCQ260AG.Count","MCQ260AG.Cumulative","MCQ260AG.Skip.to.Item"
"7","Brother",396,396,"MCQ250B"
".","Missing",9249,9645,""
