"TYXP071.Code.or.Value","TYXP071.Value.Description","TYXP071.Count","TYXP071.Cumulative","TYXP071.Skip.to.Item"
"-202 to 157","Range of Values",5581,5581,NA
".","Missing",4,5585,NA
