"RFXC105.Code.or.Value","RFXC105.Value.Description","RFXC105.Count","RFXC105.Cumulative","RFXC105.Skip.to.Item"
"-7.379 to 5.169","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
