"URDMX6LC.Code.or.Value","URDMX6LC.Value.Description","URDMX6LC.Count","URDMX6LC.Cumulative","URDMX6LC.Skip.to.Item"
"0","At or above detection limit",2614,2614,NA
"1","Below lower detection limit",7,2621,NA
".","Missing",138,2759,NA
